"","PUBCHEM_RESULT_TAG","PUBCHEM_SID","PUBCHEM_CID","PUBCHEM_ACTIVITY_OUTCOME","PUBCHEM_ACTIVITY_SCORE","PUBCHEM_ACTIVITY_URL","PUBCHEM_ASSAYDATA_COMMENT","Phenotype","Potency","Efficacy","Analysis.Comment","Curve_Description","Fit_LogAC50","Fit_HillSlope","Fit_R2","Fit_InfiniteActivity","Fit_ZeroActivity","Fit_CurveClass","Excluded_Points","Max_Response","Activity.at.0.00366.uM","Activity.at.0.018.uM","Activity.at.0.091.uM","Activity.at.0.457.uM","Activity.at.2.290.uM","Activity.at.11.40.uM","Activity.at.22.90.uM","Activity.at.57.10.uM","Activity.at.114.0.uM","Compound.QC"
"14","9",842129,644380,"Inactive",0,NA,NA,"Inactive","","","","","","","","","","4","0 0 0 0 0 0","9.6742","","","-6.445","-6.1987","-6.8934","-12.1983","","2.3518","9.6742","QC'd by DPISMR"
"19","14",842134,644390,"Inactive",0,NA,NA,"Inactive","","","","","","","","","","4","0 0 0 0 0 0","35.2212","","","5.2367","3.4631","-0.5576","-16.5748","","8.6876","35.2212","QC'd by Asinex Ltd."
"20","15",842135,644391,"Inactive",0,NA,NA,"Inactive","","","","","","","","","","4","0 0 0 0 0 0","25.3878","","","-13.7697","-12.1844","-12.8926","-6.8868","","-7.5978","25.3878","QC'd by DPISMR"
"21","16",842136,644392,"Inactive",0,NA,NA,"Inactive","","","","","","","","","","4","0 0 0 0 0 0","11.1513","","","-1.7838","1.9936","-2.4025","0.8459","","-0.8264","11.1513","QC'd by DPISMR"
"22","17",842137,644393,"Inactive",0,NA,NA,"Inactive","","","","","","","","","","4","0 0 0 0 0 0","-12.5912","","","1.9812","-2.1189","4.0275","8.6529","","4.7515","-12.5912","QC'd by DPISMR"
"23","18",842138,644394,"Inactive",0,NA,NA,"Inactive","","","","","","","","","","4","0 0 0 0 0 0","6.318","","","-0.0292","-8.6454","1.6996","-10.7885","","-9.9287","6.318","QC'd by DPISMR"
"24","19",842139,644395,"Inactive",0,NA,NA,"Activator","79.4328","45.9613","","Single point of activity","-4.1","9.3497","0.6878","32.7306","-13.2307","3","0 0 0 0 0 0","31.1429","","","-11.32","-9.1932","0.2653","-36.0361","","-7.384","31.1429","QC'd by Asinex Ltd."
"25","20",842140,644396,"Inactive",0,NA,NA,"Inactive","","","","","","","","","","4","0 0 0 0 0 0","37.7375","","","-8.2605","-10.0573","-0.7335","-0.8498","","0.1176","37.7375","QC'd by DPISMR"
"26","21",842141,644397,"Inactive",0,NA,NA,"Inactive","","","","","","","","","","4","0 0 0 0 0 0","8.1922","","","-8.5838","-1.166","-1.6323","-26.1707","","0.6034","8.1922","QC'd by DPISMR"
"27","22",842142,5770444,"Inactive",0,NA,NA,"Inactive","","","","","","","","","","4","","1.2747","","","-3.7834","0.3829","-0.254","-4.0954","","-3.9608","1.2747","QC'd by Asinex Ltd."
